Dimension,Category,Bucket,Description,Example,NOTE
Inference Rule,Existence Proof,Other / Check,"Demonstrate that a mathematical object with a certain property exists, sometimes without constructing it explicitly.",Proving that there exists an irrational number raised to an irrational power that yields a rational number.,
Inference Rule,Default Reasoning,Nonmonotonic Defaults,A nonâmonotonic reasoning pattern in which conclusions are drawn based on typical conditions that hold unless contradicted by specific evidence. It allows reasoning with general rules and exceptions.,"Birds typically fly; Tweety is a bird; therefore, Tweety can flyâunless new information indicates Tweety is a penguin.",
Inference Rule,Default Reasoning with Irrelevant Information,Nonmonotonic Defaults,A default reasoning pattern where additional context is provided that does not affect the default conclusion. The presence of irrelevant facts does not block the default inference.,"Birds typically fly. Tweety is a bird and is red. Being red is irrelevant, so we still infer that Tweety flies.",
Inference Rule,Default Reasoning with Several Defaults,Nonmonotonic Defaults,A reasoning pattern involving multiple defaults that may conflict. The system must select the most specific or prioritized default to draw a conclusion.,"Normally birds fly but penguins do not. Knowing that Tweety is a penguin, we prefer the more specific default and conclude Tweety does not fly.",
Inference Rule,Default Reasoning with Disabled Default,Nonmonotonic Defaults,"A pattern where a default rule is explicitly disabled by a higherâpriority exception or contrary evidence, preventing the default conclusion.","Birds normally fly, but mechanical problems prevent an airplane (a kind of bird in an analogy) from flying. The default is disabled.",
Inference Rule,Default Reasoning in an Open Domain,Nonmonotonic Defaults,A default reasoning pattern applied when not all individuals in the domain are explicitly enumerated. It assumes typical properties apply broadly unless contradicted.,"If we only know that heavy blocks are usually on the table, we infer that a newly mentioned block is on the table without listing all blocks explicitly.",
Inference Rule,Reasoning about Unknown Expectations I,Other / Check,"A nonâmonotonic reasoning pattern where there is uncertainty about whether a default holds because some expectations are unknown, requiring cautious inference.","Knowing that most machines start when switched on but having no information about a particular old machine, one hesitates to conclude it will start.",
Inference Rule,Reasoning about Unknown Expectations II,Other / Check,"An extension of the unknown expectations pattern where multiple unknowns complicate the application of defaults, necessitating explicit assumptions or further evidence.","Assuming that typical cars have four wheels and run on gasoline but encountering an unfamiliar vehicle, one withholds default conclusions until more details are known.",
Inference Rule,Reasoning about Unknown Expectations III,Other / Check,"A variant of unknown expectations where nested or hierarchically related defaults exist, making the inference sensitive to hidden context and implicit exceptions.","Inferring that a typical professor drinks coffee may be challenged if the professor is from a culture with different habits; without knowledge of cultural norms, inference remains tentative.",
Inference Rule,Reasoning about Priorities,Other / Check,"A pattern where conflicting default rules are resolved by assigning priorities, enabling the reasoner to prefer more authoritative or specific defaults when drawing conclusions.","A default rule suggests that birds fly, but a priority rule states that endangered species are exceptions. If Tweety is an endangered bird, we prioritize the exception and infer that Tweety may not fly.",
Inference Rule,Bayesian Update (Bayesâ Rule),Bayesian / Probabilistic,Compute posterior from prior and likelihood to update beliefs.,P(theta|data) â P(data|theta) Ã P(theta).,
Inference Rule,Law of Total Probability,Bayesian / Probabilistic,Decompose probability across partitions to structure inference.,P(A)=Î£ P(A|B_i)P(B_i).,
Inference Rule,LikelihoodâRatio/Bayes Factor,Bayesian / Probabilistic,Compare evidential strength by likelihood ratios.,BF10=8 favors H1 over H0.,
Inference Rule,Backdoor Adjustment,Graphical Causal Rules,Condition on a sufficient set to block backdoor paths in DAGs.,"Estimate E[Y|do(X)]=â E[Y|X,Z]P(Z).",
Inference Rule,Frontdoor Adjustment,Graphical Causal Rules,Use mediator to identify causal effect under frontdoor conditions.,E[Y|do(X)] identified via mediator M despite unobserved confounding.,
Inference Rule,DoâCalculus,Other / Check,Transform expressions with interventions under graphical criteria.,Rule 2 allows insertion/deletion of actions given dâseparation.,
Inference Rule,DâSeparation Reasoning,Other / Check,Infer independencies from graph structure.,X â«« Y | Z if all paths blocked by Z.,
Inference Rule,Conjunction Introduction (_-Intro),Other / Check,"From P and Q, infer P _ Q. Natural-deduction intro rule.","From Òserver is upÓ and ÒDB is reachableÓ, infer Òserver is up _ DB is reachableÓ. (forallx.openlogicproject.org)",
Inference Rule,Conjunction Elimination / Simplification (_-Elim),Classical Propositional Rules,"From P _ Q, infer P (and/or Q).","From Òdeployed _ passed testsÓ, infer Òpassed testsÓ. (forallx.openlogicproject.org)",
Inference Rule,Disjunction Introduction / Addition (_-Intro),Classical Propositional Rules,"From P, infer P _ Q.","From Òrelease passes QAÓ, infer Òrelease passes QA _ we roll backÓ. (forallx.openlogicproject.org)",
Inference Rule,Biconditional Introduction (_-Intro),Other / Check,"To prove P _ Q, prove both P _ Q and Q _ P.","From Òif compliant then approvedÓ and Òif approved then compliantÓ, infer Òcompliant _ approvedÓ. (ProofWiki)",
Inference Rule,Biconditional Elimination (_-Elim),Other / Check,"From P _ Q and P, infer Q (and symmetrically).","From ÒA _ BÓ and ÒAÓ, infer ÒBÓ. (jdmitrigallow.com)",
Inference Rule,Implication Introduction / Conditional Proof (_-Intro),Other / Check,Assume P and derive Q; infer P _ Q.,Assume Òrate-limit onÓ; derive Òno overloadÓ _ conclude Òrate-limit on _ no overloadÓ. (intrologic.stanford.edu),
Inference Rule,Negation Introduction (Â-Intro),Other / Check,"From assuming P leads to contradiction, infer ÂP.",Assume Òkeys rotatedÓ; derive contradiction _ infer ÒÂ(keys rotated)Ó. (jdmitrigallow.com),
Inference Rule,Negation Elimination (Â-Elim),Other / Check,"From assuming ÂP leads to contradiction, infer P.",Assume ÒÂbugÓ; contradiction arises _ infer ÒbugÓ. (jdmitrigallow.com),
Inference Rule,Double Negation (Intro/Elim),Classical Propositional Rules,P _ ÂÂP.,From Ònot not secureÓ infer ÒsecureÓ. (Wikipedia),
Inference Rule,De MorganÕs Laws (Replacement),Classical Propositional Rules,Â(P _ Q) _ (ÂP _ ÂQ); Â(P _ Q) _ (ÂP _ ÂQ).,From Ònot (A _ B)Ó infer Ònot A _ not BÓ. (Wikipedia),
Inference Rule,Exportation / Importation (Replacement),Classical Propositional Rules,((P _ Q) _ R) _ (P _ (Q _ R)).,Rewrite Òif (auth _ MFA) then accessÓ as Òif auth then (if MFA then access)Ó. (Wikipedia),
Inference Rule,Principle of Explosion / _-Elim (Ex Falso),Proof Techniques,"From a contradiction, infer any P (classical logic).","From ÒXÓ and ÒÂXÓ, infer Òsystem safeÓ. (Paraconsistent logics reject this.) (Wikipedia)",
Inference Rule,Universal Generalization (_-Intro),Quantifiers & Identity,"From P(a) (with side-conditions), infer _x P(x).","From Òf(a) = aÓ (arbitrary a), infer Ò_x f(x)=xÓ. (forallx.openlogicproject.org)",
Inference Rule,Existential Instantiation (_-Elim),Quantifiers & Identity,"From _x P(x), introduce a new witness c and reason with P(c) (discharging c properly).","From Òthere exists a user with admin roleÓ, reason with a fresh constant u such that Òadmin(u)Ó. (hume.ucdavis.edu)",
Inference Rule,Quantifier Negation (Rules),Quantifiers & Identity,Â_x P(x) _ _x ÂP(x); Â_x P(x) _ _x ÂP(x).,ÒNot all builds passÓ _ ÒThere exists a build that failsÓ. (Department of Mathematics),
Inference Rule,Equality Substitution (=-Elim / LeibnizÕs Law),Quantifiers & Identity,"From a = b and P(a), infer P(b) (and symmetry/transitivity of =).","From ÒID123 = AliceÓ and Òpaid(ID123)Ó, infer Òpaid(Alice)Ó. (forallx.openlogicproject.org)",
Inference Rule,Resolution (Propositional),Resolution & Sequent,"From (A _ C) and (ÂC _ B), infer (A _ B). Basis of refutation-complete theorem proving.","From Òerror _ cache_missÓ and ÒÂcache_miss _ refreshÓ, infer Òerror _ refreshÓ. (Wikipedia)",
Inference Rule,Resolution with Unification (FOL),Resolution & Sequent,First-order generalization of resolution using most-general unifiers.,"From P(x) _ Q(x) and ÂP(a), infer Q(a) via unifier [a/x]. (Wikipedia)",
Inference Rule,Cut Rule (Sequent Calculus),Resolution & Sequent,"From _ _ A and A _ _, infer _ _ _; admissible via cut-elimination (Gentzen).",Prove an intermediate lemma A and ÒcutÓ it to derive the goal. (Wikipedia),
Inference Rule,ÒMost _ SomeÓ (Existential Import),Quantifiers & Identity,"From ÒMost A are B,Ó infer ÒSome A are B.Ó Also: map common Òmost/someÓ indicators.",ÒMost pilots are unionizedÓ _ ÒSome pilots are unionized.Ó,
Inference Rule,Two-Most Overlap (Shared Antecedent),Other / Check,"If A_Most B and A_Most C, infer Some B are C (overlap via A).",ÒMost users who see A subscribeÓ and ÒMost users who see A shareÓ _ some subscribers share.,
Inference Rule,Quantifier Non-Inferences,Quantifiers & Identity,"Document combinations that donÕt license conclusions (e.g., some+most; most+most without shared driver).","From ÒSome A are BÓ and ÒMost C are D,Ó no cross-set inference.",
Inference Rule,ÒUnlessÓ Transformation,Other / Check,Normalize Òunless/except/until/withoutÓ into necessary + negated sufficient to diagram correctly.,"ÒUnless audited, approveÓ _ If not audited _ approve.",
Inference Rule,Resolution (CNF),Resolution & Sequent,Derive contradictions via clause resolvents.,Prove unsat by empty clause.,
Inference Rule,Conjunction Intro/Elim (_I/_E),Other / Check,Combine/split conjuncts.,"From P,Q infer P_Q; from P_Q infer P.",
Inference Rule,Addition (_-Intro),Classical Propositional Rules,From P infer P_Q.,ÒIt rains _ rains or snows.Ó,
Inference Rule,Simplification (_-Elim),Classical Propositional Rules,Drop a conjunct.,From A_B infer A.,
Inference Rule,Universal Generalization (UG),Quantifiers & Identity,From a(x) to _x a(x) with guards.,"Prove for arbitrary x, generalize.",
Inference Rule,Existential Instantiation (EI),Quantifiers & Identity,From _x a(x) pick a witness.,ÒSomeone tallÓ _ let t be tall.,
Inference Rule,Generalized Modus Ponens (Fuzzy),Classical Propositional Rules,Imprecise rules to graded conclusions.,ÒIf high temp then likely fail.Ó,
Inference Rule,Substitution/Unification,Other / Check,Match terms to apply rules.,Unify p(f(y)) with p(f(a)).,
Reasoning Pattern,Deductive Inference,Core Modes,Premises logically entail a conclusion with certainty; follows rules of formal logic.,"If all mammals are warmâblooded and whales are mammals, then whales are warmâblooded.",
Reasoning Pattern,Inductive Generalization,Core Modes,Reasoning from specific instances to a general pattern with probability rather than certainty.,Observing multiple swans that are white and concluding that all swans are likely white.,
Reasoning Pattern,Abductive Hypothesis,Core Modes,Reasoning in which evidence suggests a hypothesis that best explains the observations.,Inferring that wet grass was probably caused by rain rather than sprinklers.,
Reasoning Pattern,Analogical Transfer,Core Modes,Using similarities between a source and a target case to justify transferring conclusions across them.,"Arguing that because two laws are similar in scope, they should yield similar outcomes.",
Reasoning Pattern,Causal Mechanism,Causal & Process,Identifying an identifiable process linking a cause to its effect.,Demonstrating how smoking damages lung tissue to explain its role in causing cancer.,
Reasoning Pattern,Necessary Condition,Other / Check,Arguing that an outcome cannot occur without a particular factor.,Oxygen is necessary for combustion to occur.,
Reasoning Pattern,Sufficient Condition,Other / Check,Asserting that a particular factor alone is enough to produce an outcome.,Being a square is sufficient for being a rectangle.,
Reasoning Pattern,Causal Chain,Causal & Process,Describing a series of linked causeâeffect relationships leading from an initial factor to an outcome.,"Inflation leading to higher interest rates, which then slow economic growth.",
Reasoning Pattern,Correlation,Other / Check,Using a systematic coâvariation between variables as a basis for inference.,Observing that ice cream sales and drowning incidents both rise in summer does not imply causation.,
Reasoning Pattern,Regression Analysis,Statistical / Modeling,Modeling the mathematical relationship between variables to infer associations or predict outcomes.,Estimating the effect of education on earnings through a linear regression model.,
Reasoning Pattern,Probability Assessment,Statistical / Modeling,Evaluating the likelihood of an event or hypothesis based on available data.,Calculating the probability that a patient has a disease given a positive test result.,
Reasoning Pattern,Significance Testing,Statistical / Modeling,Statistical evaluation of whether observed relationships or effects are unlikely to occur by chance.,Using a pâvalue to assess whether a treatment effect is statistically significant.,
Reasoning Pattern,Counterfactual Contrast,Causal & Process,Compare actual outcome with hypothetical alternative.,"""Sales rose 5%, but synthetic control suggests +1% without the change; incremental = 4%.""",
Reasoning Pattern,DecisionâTheoretic (Expected Utility),Other / Check,Weigh outcomes by utilities/probabilities to choose actions.,Selecting a recall strategy that minimizes expected harm and cost.,
Reasoning Pattern,Optimization/Tradeâoff Analysis,Decision / Optimization / Game,Explore Pareto frontiers and constraints to balance objectives.,Tuning model threshold to balance precision and recall.,
Reasoning Pattern,GameâTheoretic Strategic,Other / Check,Anticipate strategic responses among agents.,Pricing decision modeled as Bertrand competition.,
Reasoning Pattern,GraphâBased Causal (DAG),Causal & Process,Use graphical criteria to reason about identification paths.,Applying backdoor criterion to select covariates.,
Reasoning Pattern,Sensitivity/Stress Testing,Robustness & Argument Structures,Vary assumptions to test robustness of conclusions.,Rosenbaum bounds show results robust to moderate hidden bias.,
Reasoning Pattern,Process Tracing,Causal & Process,Sequence evidence to test if hypothesized mechanism occurred.,Timeline shows policy signals preceded market move.,
Reasoning Pattern,Default Reasoning (basic),Other / Check,Adopt typical conclusions unless an exception is known.,"Birds usually fly. Tweety is a bird â Tweety probably flies, unless evidence otherwise.",
Reasoning Pattern,Default Reasoning with Irrelevant Information (DRI),Other / Check,Irrelevant additional facts do not defeat the default.,Most cats sleep a lot. Our cat has a blue collar (irrelevant) â probably sleeps a lot.,
Reasoning Pattern,Default Reasoning with Several Defaults (DRS),Other / Check,"Combine multiple default rules, barring conflicts.","Parents are usually loving AND responsible. If Mary is a parent, she is probably both (absent contrary info).",
Reasoning Pattern,Default Reasoning with a Disabled Default (DRD),Other / Check,Recognize explicit exceptions that suspend the default.,Tall people usually play basketball; Anna is tall but known to be an exception.,
Reasoning Pattern,Default Reasoning in an Open Domain (DRO),Other / Check,Handle subkinds where the default systematically fails.,"Birds usually migrate south; hummingbirds (a subkind) do not, so default doesnât apply.",
Reasoning Pattern,Reasoning about Unknown Expectations I (RE1),Other / Check,"At least one element violates the default, but we donât know which.","Normally, pets are friendly. Either the cat or the dog isnât â at least one is not friendly.",
Reasoning Pattern,Reasoning about Unknown Expectations II (RE2),Other / Check,Exactly one exception exists to a default rule.,"All cats usually meow, but thereâs exactly one that doesnât.",
Reasoning Pattern,Reasoning about Unknown Expectations III (RE3),Other / Check,General rule acknowledged with at least one unspecified exception.,Cars have wheels with spokes; at least one lacks spokes.,
Reasoning Pattern,Reasoning about Priorities (RAP),Other / Check,Resolve conflicts by preferring higher-priority or more reliable sources.,"If John is more reliable than Jane, prefer Johnâs report about the carâs location.",
Reasoning Pattern,Reductio ad Absurdum (Proof by Contradiction),Other / Check,"Assume the negation of a target claim, derive a contradiction, conclude the original claim. (Wikipedia)","Assume Òthere is a largest prime,Ó derive a contradiction _ no largest prime. (Wikipedia)",
Reasoning Pattern,Contraposition (Proof by Contrapositive),Other / Check,Prove ÒIf A then BÓ by showing ÒIf not-B then not-A.Ó (Wikipedia),"If x_ is even _ x is even, proved via: if x is odd _ x_ is odd. (Wikipedia)",
Reasoning Pattern,Proof by Cases (Disjunction Elimination),Other / Check,"Establish a conclusion separately for each exhaustive case, then infer it generally. (Wikipedia)",If inside _ wallet with me; if outside _ wallet with me; either inside or outside _ wallet with me. (Wikipedia),
Reasoning Pattern,Mathematical Induction,Other / Check,Prove base case; show n_n+1; infer statement for all n. (Encyclopedia Britannica),Sum 1+É+n = n(n+1)/2 for all n. (Encyclopedia Britannica),
Reasoning Pattern,MillÕs Method of Agreement,Other / Check,"Across cases where an effect occurs, the single common factor is inferred causal. (Oxford Reference)",Several outbreaks share a contaminated well _ well likely cause. (Oxford Reference),
Reasoning Pattern,MillÕs Method of Difference,Other / Check,Compare one case with effect vs. one without; the lone differing factor is causal. (Oxford Reference),Two similar towns; only non-chlorinated has outbreak _ chlorination protective. (Oxford Reference),
Reasoning Pattern,MillÕs Joint Method (Agreement & Difference),Other / Check,Combine agreement and difference to strengthen causal inference. (Oxford Reference),Factor present when effect occurs and absent when it doesnÕt. (Oxford Reference),
Reasoning Pattern,MillÕs Method of Concomitant Variation,Other / Check,Systematic co-variation between factor and effect suggests causation. (Oxford Reference),Higher dose _ worse symptoms. (Oxford Reference),
Reasoning Pattern,MillÕs Method of Residues,Other / Check,Attribute remaining effect to remaining unexplained factor(s). (Oxford Reference),"After accounting for A and B, residual effect attributed to C. (Oxford Reference)",
Reasoning Pattern,Qualitative Comparative Analysis (Set-Theoretic),Comparative / Precedent / Authority,"Cross-case, set-theoretic assessment of necessary/sufficient configurations (truth tables, Boolean minimization). (Wikipedia)",{HighSupport * LowCost} sufficient for adoption in a small-N policy study. (Wikipedia),
Reasoning Pattern,Case-Based Reasoning,Other / Check,Solve a new problem by retrieving and adapting solutions from similar prior cases. (The Broken Science Initiative),Draft a contract by adapting a legally similar precedent. (The Broken Science Initiative),
Reasoning Pattern,Model-Based Reasoning,Other / Check,Use idealized scientific/mathematical models to infer properties of target systems. (Wikipedia),PredatorÐprey model predicts oscillations in populations. (Wikipedia),
Reasoning Pattern,Thought Experiment,Conceptual / Model-Based,Use an imagined scenario to test principles or generate hypotheses. (Stanford Encyclopedia of Philosophy),SchrdingerÕs cat to probe quantum superposition. (Stanford Encyclopedia of Philosophy),
Reasoning Pattern,Falsification / Severe Testing,Robustness & Argument Structures,Try to refute bold hypotheses; survival of risky tests increases corroboration. (Wikipedia),Predict X that would be clearly false if the theory were wrong; observe X. (Wikipedia),
Reasoning Pattern,Extrapolation,Statistical / Modeling,Project beyond observed range assuming trend/form persists. (Wikipedia),Extend a fitted trend to forecast next quarterÕs sales. (Wikipedia),
Reasoning Pattern,Bayesian Model Comparison (Bayes Factors),Statistical / Modeling,Compare models via marginal likelihood; quantify evidential support. (Taylor & Francis Online),BF>10 supports mechanistic over null model. (Taylor & Francis Online),
Reasoning Pattern,Symptomatic,Statistical / Modeling,Infers the presence of a property or cause from observable signs or symptoms.,Concluding that a server has been compromised because it exhibits unusual outbound traffic.,
Reasoning Pattern,Classification,Statistical / Modeling,Assigns cases to categories based on defining criteria; conclusions follow from category membership.,Classifying a plant as a legume because it fixes nitrogen and has pea_like pods.,
Reasoning Pattern,Precedent,Comparative / Precedent / Authority,Applies established cases or rules to a new case; relies on similarity in legally relevant factors.,Citing a prior court ruling on data privacy to decide a new case about facial recognition.,
Reasoning Pattern,Authority_Based,Other / Check,Defers to the judgment of a credible expert or authority when direct evidence is limited.,Accepting a geologistÕs assessment that a hill is unstable due to their expertise.,
Reasoning Pattern,Comparative,Comparative / Precedent / Authority,Draws conclusions by systematically comparing alternatives or cases.,Arguing that policy A is preferable to policy B because it costs less and delivers similar benefits.,
Reasoning Pattern,MeansÐEnd (CostÐBenefit),Other / Check,Evaluates actions by weighing expected benefits against costs and risks.,Choosing between two IT upgrades by comparing projected savings and implementation expenses.,
Reasoning Pattern,Argument Scheme Application,Other / Check,Apply scheme + critical questions.,Check expert-opinion credentials/consensus.,
Reasoning Pattern,Fault-Tree/FMEA Reasoning,Other / Check,Backward map of failure paths.,AND/OR gates to false conclusion.,
Reasoning Pattern,ACH/IBE Matrix Reasoning,Robustness & Argument Structures,Score evidence vs. alternatives.,Least-inconsistent hypothesis wins.,
Reasoning Pattern,Argument-Graph (Attack/Defeat),Other / Check,Nodes/attacks with priorities.,Rebut/undercut edges resolve.,
Reasoning Pattern,Paraconsistent Tolerance,Robustness & Argument Structures,Reason amid contradictions safely.,Keep inference without explosion.,
Reasoning Pattern,Drift/Change-Point Reasoning,Causal & Process,Detect regime shifts in data/claims.,KPI breakpoint implies new model.,
Reasoning Type,Deductive,Logical Modes,"Topâdown reasoning where if the premises are true, the conclusion must be true; ensures logical certainty.",All mammals are warmâblooded; whales are mammals; therefore whales are warmâblooded.,
Reasoning Type,Inductive,Logical Modes,Bottomâup reasoning that generalizes from specific observations; conclusions are probable rather than certain.,All swans observed so far are white; therefore all swans are probably white.,
Reasoning Type,Abductive,Logical Modes,Inference to the best explanation; selects the simplest and most plausible explanation for a set of observations.,The grass is wet and the sky is cloudy; the most likely explanation is that it rained.,
Reasoning Type,Analogical,Logical Modes,Draw a conclusion about a target case based on its similarity to a known source case; strength depends on the relevance of similarities.,Arguing that a new drug will be effective because it is structurally similar to an existing effective drug.,
Reasoning Type,Defeasible,Logical Modes,"A broad category of nonâdeductive reasoning where conclusions can be overridden by new information; includes induction, abduction and analogical reasoning.","Assuming a bird can fly because most birds fly, until learning it is a penguin.",
Reasoning Type,Bayesian/Probabilistic,Statistical / Probabilistic,Updates beliefs by combining prior information with new likelihoods.,Updating fault probability after A/B test results via Bayesâ rule.,
Reasoning Type,Causal,Causal / Counterfactual,"Reasoning about interventions, counterfactuals, and mechanisms.",Using a DAG to reason about backdoor paths before estimating an effect.,
Reasoning Type,Statistical,Statistical / Probabilistic,"Reasoning with distributions, estimators, and uncertainty quantification.",Choosing a mixed model to account for clustering in panel data.,
Reasoning Type,Counterfactual,Causal / Counterfactual,Considers alternate worlds to assess explanatory adequacy or policy effect.,Evaluating what sales would have been absent the campaign.,
Reasoning Type,Pragmatic/Instrumental,Decision / Game,"Selects actions by expected utility, costs, and constraints.",Choosing a suboptimal but robust rollout to minimize worstâcase risk.,
Reasoning Type,Bayesian/Probabilistic,Statistical / Probabilistic,Update degrees of belief with BayesÕ rule; reason under uncertainty. (Stanford Encyclopedia of Philosophy),Posterior defect rate after new A/B test data. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Causal,Causal / Counterfactual,"Reason with interventions, mechanisms, and counterfactuals. (ScienceDirect)",Use a DAG to select a valid adjustment set. (ScienceDirect),
Reasoning Type,Statistical,Statistical / Probabilistic,"Inference with estimators, tests, intervals, and models. (Stanford Encyclopedia of Philosophy)",Mixed-effects model for clustered panel data. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Counterfactual,Causal / Counterfactual,Compare actual to hypothetical alternatives for explanation/policy. (ScienceDirect),Estimate ATT via synthetic control. (ScienceDirect),
Reasoning Type,Pragmatic/Instrumental (Decision-Theoretic),Decision / Game,Choose actions by expected utility given probabilities and preferences. (Stanford Encyclopedia of Philosophy),Select threshold to minimize expected loss. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Game-Theoretic,Other / Check,Analyze strategic interaction and equilibria among agents. (Stanford Encyclopedia of Philosophy),Price setting anticipating competitor responses. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Nonmonotonic,Nonclassical,"Conclusions may be withdrawn with new information (defaults, circumscription). (Stanford Encyclopedia of Philosophy)",Assume birds fly until learning itÕs a penguin. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Modal,Modal / Deontic / Temporal / Spatial,Reason about necessity/possibility (and related modalities). (Stanford Encyclopedia of Philosophy),It is necessary that (P_ÂP); possibly P. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Deontic,Modal / Deontic / Temporal / Spatial,"Reason about obligations, permissions, prohibitions. (Stanford Encyclopedia of Philosophy)",From Òmust notifyÓ and Òmay not delayÓ infer immediate disclosure. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Temporal,Modal / Deontic / Temporal / Spatial,Reason about time and temporal operators/constraints. (Stanford Encyclopedia of Philosophy),Always(test_pass) _ next(deploy) allowed. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Spatial,Modal / Deontic / Temporal / Spatial,Reason about geometric/topological relations and layouts. (Stanford Encyclopedia of Philosophy),Infer a feasible path given spatial constraints. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Fuzzy,Nonclassical,Reason with graded truth (0Ð1) rather than bivalent truth. (ScienceDirect),ÒTemperature is highÓ with truth 0.7 _ partial cooling. (ScienceDirect),
Reasoning Type,Paraconsistent,Nonclassical,Reason coherently in presence of contradictions without triviality. (Stanford Encyclopedia of Philosophy),Handle inconsistent witness reports without explosion. (Stanford Encyclopedia of Philosophy),
Reasoning Type,Model-Based,Other / Check,Use idealized models (mathematical/computational) to infer about targets. (Wikipedia),Simulate an epidemic to forecast ICU demand. (Wikipedia),
Reasoning Type,Case-Based,Other / Check,From particulars to particulars via similarity to past cases. (The Broken Science Initiative),Nearest-neighbor diagnosis using prototypical cases. (The Broken Science Initiative),
Reasoning Type,Heuristic (Fast-and-Frugal),Model / Case / Heuristic,Simple rules of thumb that can be ecologically rational under constraints. (MPG.PuRe),Recognition heuristic to pick a likely winner. (MPG.PuRe),
Reasoning Type,Transductive,Model / Case / Heuristic,Infer labels for specific new cases directly from known cases (particular_particular). (Wikipedia),Transductive SVM labels the given unlabeled pool using its structure. (Wikipedia),
Reasoning Type,Dialectical/Adversarial,Dialectical / Meta,Truth via clash of arguments.,Steelman + devilÕs advocate rounds.,
Reasoning Type,Heuristic/Rule-of-Thumb,Model / Case / Heuristic,Fast practical rules when exacting is costly.,ÒStart with base rates first.Ó,
Reasoning Type,Meta-Reasoning,Other / Check,Monitor/adjust the reasoning process.,Switch strategy when stuck.,
Reasoning Type,Decision-Analytic/Multi-Criteria,Decision / Game,Weight criteria to choose actions.,AHP ranks options under trade-offs.,
Reasoning Type,Non-Classical/Many-Valued,Other / Check,Degrees of belief/partial truth.,Fuzzy AND uses min operator.,
Reasoning Weakness,Unfaithful Reasoning,Other / Check,"Generating reasoning steps that do not actually justify the final conclusion, such as jumping to conclusions or ignoring uncertainties.",Concluding that a treatment works based solely on an unexplained pattern.,
Reasoning Weakness,Lack of Sufficient Support,Evidence & Argumentation Gaps,Relying on premises or evidence that are too weak or limited to support the conclusion.,"Drawing broad conclusions from a small, unrepresentative sample.",
Reasoning Weakness,Irrelevant Premises,Evidence & Argumentation Gaps,Including information that does not bear on the conclusion or that distracts from the argument.,Citing personal preferences in a factual dispute.,
Reasoning Weakness,Failure to Consider Alternatives,Evidence & Argumentation Gaps,Ignoring competing hypotheses or counterâexamples and showing confirmation bias.,Assuming a single cause without considering alternative explanations.,
Reasoning Weakness,Inconsistency/Contradiction,Evidence & Argumentation Gaps,Making conflicting statements or claims within an argument or entertaining mutually inconsistent beliefs.,Arguing that a policy both increases and decreases unemployment without explanation.,
Reasoning Weakness,Argument from a Bad Lot,Evidence & Argumentation Gaps,"Selecting the best explanation from a poor or limited set of alternatives, leading to a weak conclusion.",Choosing between only two proposed causes when many other plausible causes exist.,
Reasoning Weakness,OverâReliance on Deductivism,Other / Check,Rejecting inductively strong or reasonable inferences because they are not deductively valid.,Dismissing observational evidence as invalid because it does not guarantee certainty.,
Reasoning Weakness,Product Rule Paradox,Other / Check,"Repeatedly combining probabilities in a long inference chain can lead to rapidly diminishing overall probability, undermining the argument.","Arguing that because each step in a multiâstep process has a high probability, the overall process must also be highly probable.",
Reasoning Weakness,Vague or Imprecise Language,Evidence & Argumentation Gaps,Using ambiguous or unclear terms that lead to misunderstandings or inconsistent reasoning.,Basing a conclusion on an undefined notion such as âbetterâ without specifying criteria.,
Reasoning Weakness,Undermining Credibility,Evidence & Argumentation Gaps,Attacking the credibility of a source or relying on unverified claims without testing the sourceâs trustworthiness.,Rejecting an argument solely by questioning the authorâs motives rather than addressing the content.,
Reasoning Weakness,Poor Structuring of Arguments,Evidence & Argumentation Gaps,"Failing to break down complex reasoning into clear steps or leaving premises unstated, making the chain of reasoning opaque.",Presenting a conclusion without showing how the evidence leads to it.,
Reasoning Weakness,Methodological Flaws,Design & Statistical Pitfalls,"Errors in research design or data handling, such as biased samples, inappropriate statistical tests, or collecting irrelevant data.",Drawing conclusions from an unbalanced dataset or ignoring confounding variables.,
Reasoning Weakness,Overconfidence and Lack of SelfâReflection,Process / Cognitive Issues,Displaying excessive confidence in oneâs reasoning or failing to critically evaluate oneâs own position.,Assuming a model is accurate without testing its assumptions.,
Reasoning Weakness,Inflexible Thinking / Cognitive Blocks,Process / Cognitive Issues,"Narrow problem framing, stereotyping, or rigid reliance on familiar strategies that hinder creative solutions.",Only considering familiar policy solutions and dismissing novel approaches.,
Reasoning Weakness,Failure to Adapt Explanations,Process / Cognitive Issues,Not updating explanations in response to new evidence or longâterm interactions.,Sticking to an outdated hypothesis despite contradictory data.,
Reasoning Weakness,Disregard for Burdens of Proof,Other / Check,"Violating rules about when to support claims or respond to challenges, such as assuming the audience shares a belief without justification.",Making an assertion without providing evidence when challenged.,
